id,text,author_id,date_time,hashtags,username
1468031314422951937,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,8.28409263827583e+17,2021-12-07 01:35:14+00:00, ,ericgarland
1468030958028955651,RT @DemopJ: https://t.co/9zOG6t4Z8g,1.222701834386727e+18,2021-12-07 01:33:49+00:00, ,DemopJ
1468030942627315712,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,7.97288680616403e+17,2021-12-07 01:33:46+00:00, ,ericgarland
1468030302672941056,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,1149747295.0,2021-12-07 01:31:13+00:00, ,ericgarland
1468028961250754566,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,41153898.0,2021-12-07 01:25:53+00:00, ,ericgarland
1468028615048769539,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,1.3727419452152914e+18,2021-12-07 01:24:31+00:00, ,ericgarland
1468028594819637255,"RT @riskigy: Parenthood #cyberattack exposes data of 400,000 patients https://t.co/aWa0WULVV1  @riskigy #infosec #cybersecurity #vciso #com…",1.1506962801103135e+18,2021-12-07 01:24:26+00:00,"['cyberattack', 'infosec', 'cybersecurity', 'vciso']",riskigy
1468027316949368832,RT @nytimesworld: Tracing cryptocurrency used to pay Russian ransomware gangs has led to businesses at one of Moscow’s most prestigious add…,107702315.0,2021-12-07 01:19:21+00:00, ,nytimesworld
1468027163467292674,"RT @riskigy: Parenthood #cyberattack exposes data of 400,000 patients https://t.co/aWa0WULVV1  @riskigy #infosec #cybersecurity #vciso #com…",16967457.0,2021-12-07 01:18:45+00:00,"['cyberattack', 'infosec', 'cybersecurity', 'vciso']",riskigy
1468027161898541062,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,1.002617783652438e+18,2021-12-07 01:18:44+00:00, ,ericgarland
1468026844104560645,RT @ericgarland: U.S. intelligence narrows down those attacks on our hospitals and critical infrastructure to - HOLD ONTO YER BUTTS!!! - th…,56798488.0,2021-12-07 01:17:28+00:00, ,ericgarland
1468026548510814212,"To state the bleeding obvious, 'follow the money' applies to ransomware like any other crime type.

This reminds me of how so much dirty money is parked in ritzy London real estate.
https://t.co/LAZtvdZ20g",154436395.0,2021-12-07 01:16:18+00:00, , 
1468026521541619714,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.4583791653554135e+18,2021-12-07 01:16:12+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
1468026520870469639,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.3644975725098803e+18,2021-12-07 01:16:11+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
1468026484321361923,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.1278298830133617e+18,2021-12-07 01:16:03+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
1468026460644515841,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.2519090622220206e+18,2021-12-07 01:15:57+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
1468026364141969413,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.3485588736369213e+18,2021-12-07 01:15:34+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
1468026364070670336,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.3820326168246518e+18,2021-12-07 01:15:34+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
1468026364007698435,"RT @bamitav: From Speculation To #Darknet Transactions And #ransomware, Here Are 8 Types Of #Crypto Transaction

https://t.co/wJDtLezfCZ

#…",1.2501646329682985e+18,2021-12-07 01:15:34+00:00,"['Darknet', 'ransomware', 'Crypto']",bamitav
